COMMUNITY,COMMERCIAL & INDUSTRIAL PERMITS,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,2018,,,,,,,,
CLOVERDALE,Commercial Permits,0,5,4,,,,,,,,,,9,,,,,,,,
,Value ($ 000s),0,551,542,,,,,,,,,,"1,093",,,,,,,,
,Floor Area (000s sf),0,0,0,,,,,,,,,,0,,,,,,,,
,Industrial Permits,2,2,2,,,,,,,,,,6,,,,,,,,
,Value ($ 000s),177,175,293,,,,,,,,,,645,,,,,,,,
,Floor Area (000s sf),0,1,3,,,,,,,,,,4,,,,,,,,
FLEETWOOD,Commercial Permits,1,2,1,,,,,,,,,,4,,,,,,,,
,Value ($ 000s),155,95,313,,,,,,,,,,563,,,,,,,,
,Floor Area (000s sf),0,0,0,,,,,,,,,,0,,,,,,,,
,Industrial Permits,0,0,0,,,,,,,,,,0,,,,,,,,
,Value ($ 000s),0,0,0,,,,,,,,,,0,,,,,,,,
,Floor Area (000s sf),0,0,0,,,,,,,,,,0,,,,,,,,
GUILDFORD,Commercial Permits,4,6,4,,,,,,,,,,14,,,,,,,,
,Value ($ 000s),612,743,218,,,,,,,,,,"1,573",,,,,,,,
,Floor Area (000s sf),0,0,0,,,,,,,,,,0,,,,,,,,
,Industrial Permits,3,0,1,,,,,,,,,,4,,,,,,,,
,Value ($ 000s),"2,323",0,13,,,,,,,,,,"2,337",,,,,,,,
,Floor Area (000s sf),23,0,0,,,,,,,,,,23,,,,,,,,
NEWTON,Commercial Permits,14,10,11,,,,,,,,,,35,,,,,,,,
,Value ($ 000s),910,392,"2,279",,,,,,,,,,"3,581",,,,,,,,
,Floor Area (000s sf),0,0,0,,,,,,,,,,0,,,,,,,,
,Industrial Permits,5,4,8,,,,,,,,,,17,,,,,,,,
,Value ($ 000s),84,"2,640",649,,,,,,,,,,"3,373",,,,,,,,
,Floor Area (000s sf),0,18,0,,,,,,,,,,18,,,,,,,,
SOUTH SURREY,Commercial Permits,11,3,11,,,,,,,,,,25,,,,,,,,
,Value ($ 000s),"2,137","1,320","1,723",,,,,,,,,,"5,180",,,,,,,,
,Floor Area (000s sf),12,0,0,,,,,,,,,,12,,,,,,,,
,Industrial Permits,4,2,5,,,,,,,,,,11,,,,,,,,
,Value ($ 000s),"5,982","1,500",571,,,,,,,,,,"8,054",,,,,,,,
,Floor Area (000s sf),65,6,0,,,,,,,,,,71,,,,,,,,
WHALLEY,Commercial Permits,7,7,5,,,,,,,,,,19,,,,,,,,
,Value ($ 000s),"1,198",768,"2,657",,,,,,,,,,"4,624",,,,,,,,
,Floor Area (000s sf),4,2,13,,,,,,,,,,19,,,,,,,,
,Industrial Permits,2,0,0,,,,,,,,,,2,,,,,,,,
,Value ($ 000s),65,0,0,,,,,,,,,,65,,,,,,,,
,Floor Area (000s sf),0,0,0,,,,,,,,,,0,,,,,,,,
SURREY,Commercial Permits,37,33,36,,,,,,,,,,106,,,,,,,,
,Value ($ 000s),"5,012","3,868","7,733",,,,,,,,,,"16,614",,,,,,,,
,Floor Area (000s sf),16,2,13,,,,,,,,,,31,,,,,,,,
,Industrial Permits,16,8,16,,,,,,,,,,40,,,,,,,,
,Value ($ 000s),"8,632","4,315","1,526",,,,,,,,,,"14,474",,,,,,,,
,Floor Area (000s sf),88,25,3,,,,,,,,,,116,,,,,,,,
