As of end of year,System_2013,System_2012,City_Centre_2013,City_Centre_2012,Cloverdale_2013,Cloverdale_2012,Fleetwood_2013,Fleetwood_2012,Guildford_2013,Guildford_2012,Newton_2013,Newton_2012,Ocean_Park_2013,Ocean_Park_2012,Port Kells_2013,Port Kells_2012,Semiahmoo_2013,Semiahmoo_2012,Strawberry_Hill_2013,Strawberry_Hill_2012,Special_Needs_2013,Special_Needs_2012,Collection_Services_2013,Collection_Services_2012,System
,,,,,,,,,,,,,,,,,,,,,,,,,
Catalogued Print,,,,,,,,,,,,,,,,,,,,,,,,,
Adult,"314,919","315,151","63,170","58,286","29,161","28,081","26,060","28,909","62,528","65,463","42,249","41,882","17,236","17,611","5,092","5,047","45,102","45,673","24,090","23,980",18,27,213,192,-0.10%
Junior,"257,402","247,267","44,017","40,221","19,496","19,043","28,154","27,716","52,480","49,592","25,474","25,469","20,907","20,241","4,591","4,324","36,796","35,215","25,486","25,445",1,1, -   , -   ,4.10%
,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Catalogued / Generic Print,,,,,,,,,,,,,,,,,,,,,,,,,
Adult,"22,373","23,957","5,903","6,236",577,625,"2,137","2,288","5,306","5,433","3,817","4,852",338,376,25,11,"2,007","1,814","2,262","2,321",1,1, -   , -   ,-6.60%
Junior,"87,368","84,262","12,148","11,653","6,809","6,373","9,069","8,987","17,756","16,267","13,031","13,320","7,459","7,764","1,744","1,825","10,623","9,691","8,729","8,382", -   , -   , -   , -   ,3.70%
,,,,,,,,,,,,,,,,,,,,,,,,,
Audiovisual,,,,,,,,,,,,,,,,,,,,,,,,,
Adult,"71,710","68,917","12,833","11,422","4,654","4,418","6,525","6,504","10,284","10,201","9,529","9,093","3,489","3,308","1,163","1,045","9,894","9,584","5,930","5,510","7,407","7,828",2,4,4.10%
Junior,"38,865","36,533","7,439","6,642","3,057","2,806","3,803","3,475","6,747","6,695","5,904","5,320","2,472","2,284",767,758,"4,692","4,668","3,911","3,802",67,77,6,6,6.40%
,,,,,,,,,,,,,,,,,,,,,,,,,
Multilingual Print,,,,,,,,,,,,,,,,,,,,,,,,,
Adult,"27,090","27,634","7,209","7,253",439,411,"2,303","2,121","5,589","5,364","4,827","6,150",39,36,7,8,"1,884","1,647","4,793","4,644", -   , -   , -   , -   ,-2.00%
Junior,"7,944","7,924","1,312","1,238",345,311,888,959,"2,214","2,127",713,906,194,185,1,1,"1,020",969,"1,257","1,228", -   , -   , -   , -   ,0.30%
,,,,,,,,,,,,,,,,,,,,,,,,,
Multilingual Audiovisual,,,,,,,,,,,,,,,,,,,,,,,,,
Adult,"1,690","1,761",325,309,88,96,173,180,322,326,284,302,53,49,42,42,168,212,235,243, -   , -   , -   ,2,-4.00%
Junior,512,496,137,116,37,35,59,51,122,113,35,51,5,3, -   , -   ,75,87,42,40, -   , -   , -   , -   ,3.20%
,,,,,,,,,,,,,,,,,,,,,,,,,
Electronic Databases,45,45,,,,,,,,,,,,,,,,,,,,,,,0.00%
,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL ADULT,"409,002","408,025","81,906","75,944","34,392","33,124","34,722","37,701","78,118","81,097","55,595","55,827","21,063","21,295","6,280","6,103","57,003","57,071","32,282","31,811","7,426","7,856",215,196,0.20%
% of Branch Total,51.60%,52.60%,56.30%,56.50%,53.90%,54.00%,45.80%,48.40%,50.40%,52.80%,55.60%,55.90%,40.60%,41.30%,46.90%,46.90%,52.20%,53.50%,45.80%,45.80%,99.10%,99.00%,97.30%,97.00%,
TOTAL JUNIOR,"383,635","368,062","63,604","58,516","29,362","28,222","41,026","40,178","76,983","72,554","44,409","44,109","30,838","30,289","7,102","6,907","52,111","49,574","38,126","37,629",68,78,6,6,4.20%
% of Branch Total,48.40%,47.40%,43.70%,43.50%,46.10%,46.00%,54.20%,51.60%,49.60%,47.20%,44.40%,44.10%,59.40%,58.70%,53.10%,53.10%,47.80%,46.50%,54.20%,54.20%,0.90%,1.00%,2.70%,3.00%,
TOTAL MULTILINGUAL,"37,236","37,815","8,983","8,916",909,853,"3,423","3,311","8,247","7,930","5,859","7,409",291,273,50,51,"3,147","2,915","6,327","6,155", -   , -   , -   ,2,-1.50%
% of Branch Total,4.70%,4.90%,6.20%,6.60%,1.40%,1.40%,4.50%,4.30%,5.30%,5.20%,5.90%,7.40%,0.60%,0.50%,0.40%,0.40%,2.90%,2.70%,9.00%,8.90%,0.00%,0.00%,0.00%,1.00%,
,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL HOLDINGS,"792,637","776,087","145,510","134,460","63,754","61,346","75,748","77,879","155,101","153,651","100,004","99,936","51,901","51,584","13,382","13,010","109,114","106,645","70,408","69,440","7,494","7,934",221,202,2.10%
% of System Total,100.00%,100.00%,18.40%,17.30%,8.00%,7.90%,9.60%,10.00%,19.60%,19.80%,12.60%,12.90%,6.50%,6.60%,1.70%,1.70%,13.80%,13.70%,8.90%,8.90%,0.90%,1.00%,0.00%,0.00%,
,,,,,,,,,,,,,,,,,,,,,,,,,
Multilingual is included in adult & junior,,,,,,,,,,,,,,,,,,,,,,,,,
French is not included in multilingual,,,,,,,,,,,,,,,,,,,,,,,,,
On order is excluded from counts,,,,,,,,,,,,,,,,,,,,,,,,,
City of Surrey Archives also excluded,,,,,,,,,,,,,,,,,,,,,,,,,
