Name,Address,Accessibility_Rating,Within_300m_Transit_Stop,Longitude,Latitude
Bear Creek Elementary,13780 80 Ave,Good,No,-122.84060078600,49.14698925800
Berkshire Park Elementary,15372 94 Ave,Average,No,-122.79682905600,49.17282788400
Bothwell Elementary,17070 102 Ave,Average,No,-122.74891722800,49.18732149600
Cedar Hills Elementary,12370 98 Ave,Excellent,55080,-122.87974415900,49.17999001000
Chimney Hill Elementary,14755 74 Ave,Excellent,No,-122.81394071100,49.13809645600
Chuck Bailey Recreation Centre,13458 107A Ave,Excellent,55789,-122.84926460600,49.19692899500
Cindrich Elementary,13455 90 Ave,Average,No,-122.85063761100,49.16708449000
Clayton Heights Secondary,7003 188 St,Average,60770,-122.70326063700,49.12883363500
Cloverdale Recreation Centre,6188 176 St,Excellent,55252,-122.73398706600,49.11522199000
Coast Meridian Elementary,8222 168A St,Good,No,-122.75433927000,49.15235665100
Colebrook Elementary,5404 125A St,Excellent,No,-122.87379916900,49.10138821600
Cougar Creek Elementary,12236 70A Ave,Good,No,-122.88334579700,49.13042856500
East Kensington Elementary,2795 184 St,Good,No,-122.71428216700,49.05271814700
Ecole Panorama Ridge Secondary,13220 64 Ave,Excellent,56403,-122.85504239000,49.11805530200
Elgin Park Secondary,13484 24 Ave,Good,56372,-122.84862069600,49.04449154400
Elgin Community Hall,14250 Crescent Rd,Average,56124,-122.82743594100,49.06683472800
Ellendale Elementary,14525 110A Ave,Average,No,-122.81988035300,49.20354200000
Boundary Park Elementary,12332 Boundary Dr N,Good,61167,-122.88089408000,49.11677952100
Fleetwood Community Centre,15996 84 Ave,Excellent,55864,-122.77959630400,49.15491888600
Fleetwood Park Secondary,7940 156 St,Average,55902,-122.78903459700,49.14742153700
Forsyth Road Elementary,10730 139 St,Average,55849,-122.83603651400,49.19742595400
Fraser Heights Community Centre,10588 160 St,Excellent,No,-122.77711965400,49.19491292400
Green Timbers Elementary,8824 144 St,Average,55744,-122.82288808200,49.16362220400
Guildford Park Secondary,10707 146 St,Good,55846,-122.81935543000,49.19704973000
Guildford Recreation Centre,15105 105 Ave,,59237,-122.80252525500,49.19365280600
Hall's Prairie Elementary,18035 8 Ave,Average,No,-122.72299167300,49.01733444500
Harold Bishop Elementary,15670 104 Ave,Good,55854,-122.78741684100,49.19112669100
Kennedy Trail Elementary,8305 122A St,Good,55833,-122.88362174500,49.15389120600
Khalsa School,10677 124 St,,No,-122.87892355000,49.19648253700
Kirkbride Elementary,12150 92 Ave,Average,55012,-122.88561264000,49.16981700700
Lena Shaw Elementary,14250 100A Ave,Average,No,-122.82753119000,49.18468727200
Maple Green Elementary,14898 Spenser Dr,Average,55901,-122.81002096200,49.15701729100
Morgan Elementary,3366 156A St,Excellent,No,-122.78777348100,49.06288928000
Newton Elementary,13359 81 Ave,Good,No,-122.85274598400,49.15042801000
Newton Seniors Centre,13775 70 Ave,Excellent,55459,-122.84095401400,49.13034130400
Ocean Cliff Elementary,12550 20 Ave,Good,56310,-122.87532770200,49.03803744000
Old Yale Road Elementary,10135 132 St,Average,55072,-122.85744882400,49.18684963600
Pacific Heights Elementary,17148 26 Ave,Good,No,-122.74849137400,49.04830066000
Port Kells Community Hall,18918 88 Ave,Good,No,-122.69861469200,49.16230036300
Ray Shepherd Elementary,1650 136 St,Average,56152,-122.84492585300,49.03195576100
Semiahmoo Secondary,1785 148 St,Good,56292,-122.81401720700,49.03493807000
Semiahmoo Trail Elementary,3040 145A St,Good,No,-122.81862323100,49.05802583100
Simon Cunningham Elementary,9380 140 St,Good,55704,-122.83366472800,49.17306821600
South Meridian Elementary,16244 13 Ave,Good,55495,-122.77194454000,49.02566341000
Strawberry Hill Elementary,7633 124 St,Good,55821,-122.88008346500,49.14162776200
Sullivan Heights Secondary School,6248 144 St,Excellent,58574,-122.82186978300,49.11595356100
Sunnyside Community Hall,1845 154 St,Good,No,-122.79688897900,49.03537608900
Surrey Centre Elementary,16670 Old McLellan Rd,Good,No,-122.75895634600,49.10962093800
Tamanawis Secondary,12600 66 Ave,Good,55506,-122.87169103300,49.12206442300
W.E. Kinvig Elementary,13266 70B Ave,Good,55542,-122.85449214500,49.13048216400
William F. Davidson Elementary,15550 99A Ave,Good,55765,-122.79086500600,49.18276816900
Bridgeview Community Hall,11475 126A St,Good,55100,-122.87177465000,49.21124496600
