Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit
Home Page,4303,2622,40.07,2430,16.50%,15.85%
Dataset Page,1784,894,31.60,203,18.32%,8.80%
Open Government Licence,905,787,61.77,742,62.67%,62.43%
Land Use and Development Category,733,426,36.09,27,29.63%,7.64%
Infrastructure Category,469,302,32.23,13,23.08%,5.12%
Imagery Category,438,289,30.05,18,22.22%,6.85%
Property Package Dataset,372,277,81.03,43,11.63%,20.43%
Property Package Dynamic Download Page,347,247,194.79,109,84.40%,58.21%
Showcase,323,201,65.79,4,0.00%,6.19%
2016 Orthophoto Dataset,309,182,53.24,13,53.85%,13.59%
Totals,40119,27538,46.91,6425,31.09%,16.01%
